Ñòîëáåö1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52
Niger;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;
Nigeria;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];
Niue;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North Macedonia;Yes [Criminal Code of North Macedonia, Article 191 (https://www.ilo.org/dyn/natlex/docs/MONOGRAPH/66834/135908/F-1025739791/MKD-66834%20(EN).pdf)];;;;;Yes [Criminal Code of North Macedonia, Article 191 (https://www.ilo.org/dyn/natlex/docs/MONOGRAPH/66834/135908/F-1025739791/MKD-66834%20(EN).pdf)];;;;;;;;;;;;;;;;;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;;;;;;;;;;;;Yes [Law on misdemeanors against the public order, Article 19 (https://www.refworld.org/docid/5aa126e07.html)];;;;;;;;;;;
Norway;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oman;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pakistan;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Palau;Yes [Palau. Code of Palau. Anti-Prostitution Act. Chapter 36 (https://www.legal-tools.org/doc/1c32a2/pdf/)];;;;Yes [Palau. Code of Palau. Anti-Prostitution Act. Chapter 36 (https://www.legal-tools.org/doc/1c32a2/pdf/)];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;Yes [Palau. Code of Palau. Anti-Prostitution Act. Chapter 36 (https://www.legal-tools.org/doc/1c32a2/pdf/)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Panama;No [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
Papua New Guinea;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;
Paraguay;No [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
Peru;"Yes [Decreto Legislativo N°635 Codigo Penal. Articles 179 and 181. Lima: Ministerio de Justicia y Derechos Humanos; 2022 (https://lpderecho.pe/codigo-penal-peruano-actualizado/)]";;;;;"Yes [Decreto Legislativo N°635 Codigo Penal. Articles 179 and 181. Lima: Ministerio de Justicia y Derechos Humanos; 2022 (https://lpderecho.pe/codigo-penal-peruano-actualizado/)]";;;;;;;;;;;;"Yes [Decreto Legislativo N°635 Codigo Penal. D?cimo segundo edici?n official. Article 153. Lima: Ministerio de Justicia y Derechos Humanos; 2016 (http://spij.minjus.gob.pe/content/publicaciones_oficiales/img/CODIGOPENAL.pdf)]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philippines;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Poland;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;
Qatar;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;
Republic of Korea;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Republic of Moldova;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [Republic of Moldova. Criminal Code Article 220];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Romania;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russian Federation;Yes [The Russian Federation. The Criminal Code of the Russian Federation. No. 63–Fz of 13 June 1996. Article 241 (http://www.wipo.int/edocs/lexdocs/laws/en/ru/ru080en.pdf).];;;;;Yes [The Russian Federation. The Criminal Code of the Russian Federation. No. 63–Fz of 13 June 1996. Article 241 (http://www.wipo.int/edocs/lexdocs/laws/en/ru/ru080en.pdf).];;;;;;;;;;;;;;;;;Yes [The Russian Federation. The Criminal Code of the Russian Federation. No. 63–Fz of 13 June 1996. Article 241 (http://www.wipo.int/edocs/lexdocs/laws/en/ru/ru080en.pdf).];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rwanda;Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];;;;Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];;;;;;;;;Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];;;;;;;;;;Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];;;;;Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];;;;Yes [Rwanda. Organic Law Instituting the Penal Code. Section 4 (https://sherloc.unodc.org/cld/uploads/res/document/rwa/1999/penal-code-of-rwanda_html/Penal_Code_of_Rwanda.pdf)];;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Saint Kitts and Nevis;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint Lucia;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Saint Vincent and the Grenadines;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samoa;Yes [Samoa. Crimes Act 2013. Sections 72-76 (https://www.ilo.org/dyn/natlex/natlex4.detail?p_isn=93579&p_lang=en)];;;;Yes [Samoa. Crimes Act 2013. Sections 72-76 (https://www.ilo.org/dyn/natlex/natlex4.detail?p_isn=93579&p_lang=en)];;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;Yes [Samoa. Crimes Act 2013. Sections 72-76 (https://www.ilo.org/dyn/natlex/natlex4.detail?p_isn=93579&p_lang=en)];;;;;Yes [Samoa. Crimes Act 2013. Sections 72-76 (https://www.ilo.org/dyn/natlex/natlex4.detail?p_isn=93579&p_lang=en)];;;;;;;;;;Yes [Samoa. Crimes Act 2013. Sections 72-76 (https://www.ilo.org/dyn/natlex/natlex4.detail?p_isn=93579&p_lang=en)];;;;;;;;;;;;;;;;;;;;;
San Marino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sao Tome and Principe;No [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;
Saudi Arabia;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;
Senegal;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [Republic of Senegal. Penal Code Article 323 (https://www.refworld.org/docid/49f5d8262.html)];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Serbia;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Seychelles;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Sierra Leone;No [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [Sierra Leone. Sexual Offences Act Article 17 (http://www.sierra-leone.org/Laws/2012-12.pdf)];Yes [Sierra Leone. Sexual Offences Act. Article 17 (http://www.sierra-leone.org/Laws/2012-12.pdf)];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
Singapore;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;
Slovakia;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slovenia;No [Slovenia. Law on the Protection of Law and Order (http://www.pisrs.si/Pis.web/pregledPredpisa?id=ZAKO3891)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Slovenia. Law on the Protection of Law and Order (http://www.pisrs.si/Pis.web/pregledPredpisa?id=ZAKO3891)];;;;;
Solomon Islands;Yes [Solomon Islands. Penal Code, Section 153 (http://www.paclii.org/sb/legis/consol_act/pc66/)];;;;Yes [Solomon Islands. Penal Code, Section 153 (http://www.paclii.org/sb/legis/consol_act/pc66/)];;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Solomon Islands. Penal Code, Section 153 (http://www.paclii.org/sb/legis/consol_act/pc66/)];;;;;;;;;;;;;;;;;;;;
Somalia;Yes [Somalia. Penal Code, Articles 405 and 407 (https://www.refworld.org/docid/4bc5906e2.html). ];;;;;Yes [Somalia. Penal Code, Articles 405 and 407 (https://www.refworld.org/docid/4bc5906e2.html). ];;;;;;;;;;Yes [Somalia. Penal Code, Articles 405 and 407 (https://www.refworld.org/docid/4bc5906e2.html). ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Africa;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [Republic of South Africa. Sexual Offences Act 1957 (https://www.gov.za/sites/default/files/gcis_document/201505/act-23-1957.pdf)];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [Republic of South Africa. Sexual Offences Amendment Act 32 of 2007 (http://www.justice.gov.za/legislation/acts/2007-032.pdf)];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [Republic of South Africa. Sexual Offences Act 1957 (https://www.gov.za/sites/default/files/gcis_document/201505/act-23-1957.pdf)];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [Republic of South Africa. Sexual Offences Act 1957 (https://www.gov.za/sites/default/files/gcis_document/201505/act-23-1957.pdf)];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
South Sudan;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
Spain;Yes [Codigo Penal Articulo 187 (https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444)];;;;;Yes [Codigo Penal Articulo 187 (https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sri Lanka;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];
Sudan;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [Sudan. The Penal Code, 1991 (https://www.ecoi.net/en/file/local/1219135/1329_1202725629_sb106- sud-criminalact1991.pdf).];Yes [UNAIDS National Commitments and Policy Instrument 2022];;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;;Yes [Sudan. The Penal Code, 1991 (https://www.ecoi.net/en/file/local/1219135/1329_1202725629_sb106- sud-criminalact1991.pdf).];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [Sudan. The Penal Code, 1991 (https://www.ecoi.net/en/file/local/1219135/1329_1202725629_sb106- sud-criminalact1991.pdf).];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Suriname;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweden;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Switzerland;No [Rapport du Conseil f?d?ral sur la prostitution et la traite d’?tres humains 2015 (https://www.ejpd.admin.ch/ejpd/fr/home/aktuell/news/2015/2015-06-05.html)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Rapport du Conseil f?d?ral sur la prostitution et la traite d’?tres humains 2015 (https://www.ejpd.admin.ch/ejpd/fr/home/aktuell/news/2015/2015-06-05.html)];;;;;
Syrian Arab Republic;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tajikistan;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;Yes [Republic of Tajikistan. Administrative Codex of Republic of Tajikistan (mmk.tj/ru/library/+k_rt_ob_adm._pravonarusheniyah.doc).];;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Thailand;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Timor-Leste;Yes [Timor-Leste. Penal Code, Article 174 (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/106091/129951/F608341342/TLS106091%20Port.pdf). ];;;;;Yes [Timor-Leste. Penal Code, Article 174 (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/106091/129951/F608341342/TLS106091%20Port.pdf). ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Togo;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;Yes [Republic of Togo. Penal Code Article 91 (https://www.wipo.int/edocs/lexdocs/laws/fr/tg/tg003fr.pdf)];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
